Категория,Артикул,Наименование,Цена,Цена по карте / Акция
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098756,"Провод ПВС 3х1,5 мм2, белый (1 п.м.)",39,38
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161856,"Провод ПВС 3х0,75 мм2, белый (бухта-100 п.м.)",2955,2808
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098752,"Провод ПВС 2х2,5 мм2, белый (1 п.м.)",43,41
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-089998,"Провод ПВ-3 (ПУГВ) 1х4 мм2, желто-зеленый (1 п.м.)",24,23
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-167014,"Провод ПВ-3 (ПУГВ) 1х10 мм2, желто-зеленый (бухта-100 п.м.)",5876,5582
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165167,"Провод соединительный гибкий ПУГНП(ПБППГ) 2х2,5 мм2, белый (100п.м.)",3417,3247
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098738,"Провод установочный ПУНП(ПБПП) 2х2,5 мм2, белый (1 п.м.)",44,42
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-093010,"Провод ПВС 3х1,0 мм2, белый (1 п.м.)",40,38
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098741,"Провод установочный ПУНП(ПБПП) 3х2,5 мм2, белый (1 п.м.)",64,61
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098749,"Провод ПВС 2х0,75 мм2, белый (1 п.м.)",23,22
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-118860,"Провод ПВ-3 (ПУГВ) 1х6 мм2, желто-зеленый (1 п.м.)",35,33
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161846,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, желто-зеленый (1 п.м.)",19,18
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-166407,"Провод ПВ-3 (ПУГВ) 1х10 мм2, белый (бухта-100 п.м.)",5876,5582
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-162124,"Шнур для бра А1060 с проходным выключателем ШВВП 2х0,75, белый (1,7 м)",116,110
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-167011,"Провод ПВ-3 (ПУГВ) 1х10 мм2, белый (1 п.м.)",62,59
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-167013,"Провод ПВ-3 (ПУГВ) 1х10 мм2, желто-зеленый (1 п.м.)",61,58
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165173,"Провод установочный ПУНП(ПБПП) 3х2,5 мм2, белый (бухта-100 п.м.)",6165,5857
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173600,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, желто-зеленый (бухта-100 п.м.)",1118,1062
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173599,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, белый (бухта-100 п.м.)",1112,1056
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173603,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, желто-зеленый (бухта-100 п.м.)",1803,1713
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173604,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, синий (бухта-100 п.м.)",1477,1403
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173601,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, синий (бухта-100 п.м.)",1118,1062
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-173602,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, белый (бухта-100 п.м.)",1506,1431
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-089007,"Кабель-канал ПВХ 100х60 мм, двойной замок, белый (2 м)",371,352
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-035243,"Кабель-канал ПВХ 16х16 мм, двойной замок, белый (2 м)",30,29
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-002575,"Кабель-канал ПВХ 15х10 мм, двойной замок, белый (2 м)",25,24
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-002579,"Кабель-канал ПВХ 25х16 мм, двойной замок, белый (2 м)",47,45
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-165817,"Кабель-канал ПВХ 12х12 мм, двойной замок, сосна 3D (2 м)",39,37
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-089012,"Кабель-канал ПВХ 40х25 мм, двойной замок, белый (2 м)",83,79
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-165757,"Кабель-канал ПВХ 15х10 мм, двойной замок, сосна 3D (2 м)",44,42
/Электротехнические товары/Кабель и монтаж/Кабеленесущие системы,тов-102308,"Труба ПВХ э/тех. легкого типа с зондом, d=16 мм (бухта-100 п.м.)",687,653
